koi_fwm_sdec,koi_fwm_sra,koi_teq,koi_prad
41.63248,19.316801,863,0.31
41.63297,19.3168201,799,0.39
41.63293,19.3168279,721,0.4
41.63279,19.3168253,669,0.42
47.20803,18.765526,797,0.49
41.63272,19.3168517,620,0.51
43.29304,19.35875,439,0.58
47.208,18.76548,723,0.58
45.34962,18.880816,569,0.59
44.617861,19.4812955,456,0.69
48.42279,18.985788,1558,0.7
44.51843,18.937295,562,0.71
41.33092,19.349187,1412,0.73
44.96845,19.456563,1053,0.76
40.94249,19.235414,600,0.77
45.13623,19.567464,450,0.78
41.20911,19.441883,786,0.78
45.9707,19.681941,610,0.79
47.207934,18.765496,460,0.79
49.06483,19.116853,931,0.8
42.07581,19.64494,1218,0.81
41.2087,19.441907,630,0.81
42.33873,19.179863,927,0.82
46.895674,19.4337323,805,0.83
47.52979,19.451419,739,0.84
44.33755,20.057583,1035,0.85
47.60495,19.883848,535,0.85
44.617904,19.4812987,525,0.87
43.14188,19.174667,769,0.87
46.05206,19.99307,685,0.89
50.5586,19.681745,693,0.89
42.65874,19.729757,1017,0.9
44.60829,18.98851,830,0.91
48.35525,18.883677,1075,0.91
49.0403,19.40212,946,0.92
43.22809,18.740807,1231,0.92
43.656886,18.8756957,794,0.95
38.41023,19.440472,1143,0.95
41.83342,19.442312,655,0.95
44.29535,18.756568,1403,0.96
44.60914,18.988555,515,0.96
40.343858,19.431247,764,0.97
43.22797,18.740858,1337,0.97
46.85271,19.578699,402,0.98
40.34368,19.4312748,542,0.98
41.95078,18.77634,273,0.98
42.45979,19.893027,1641,0.98
44.33774,20.057623,658,0.99
45.2623,19.847481,1459,0.99
42.33897,19.179858,628,0.99
48.349646,19.6081053,587,1
47.90878,19.578271,597,1
40.67058,19.966779,623,1.01
42.82468,19.575838,357,1.02
44.28427,18.866877,872,1.02
46.6399,19.135984,866,1.02
46.96145,19.833995,529,1.03
47.114981,19.142705,1049,1.03
40.245248,19.2300535,977,1.03
46.89574,19.433719,426,1.03
44.7985,18.978438,868,1.04
42.37031,19.609189,1471,1.04
41.343013,18.8823784,1055,1.04
40.6377,19.193108,1404,1.05
46.98692,19.66682,870,1.05
